text,label
නියම සිංහල මහත්මයෙක්.,joy
අන්න මිනිස්සු...,joy
"බතල වැලට, කොස්ගෙඩි අටට, උසාවි ගිහින් රිමන්ඩ් කරන යුගයක් මේක.",disgust
"උපුල්, පහන්, ඔබලාට ස්තූතියි.",joy
හිතහොද මනුස්සයෙක්.,joy
මේ වැඩේට උපරිම දඩුවම් දෙන්න ඕනේ,anger
හිතක් පපුවක් නැති මිනිස්සු,anger
ඉතා හොදයි,joy
මේ වරදටනම් උපරිම දඩුවම් දෙන්න ඕනේ,anger
අනේ මන්දා මෙහෙමත් අජාසත්තලා.,disgust
මේ වගේ දේවල් කරන අයගේ රෙදි ගලවලා උසාවි යවන්න ඕනේ.,anger
මේ අපේ රටේද ?,surprise
මේවට උපරිම දඩුවම් දෙන්න.,anger
දැන් ලංකාව බෞද්ද රටක් කියල හැම කෙනෙන්ක්ටම ඕනෑම දෙයක් කරලා අවරුදු 5 විතර හිරේ දාල නිදහස් කරනවා . මමනම් කියන්නේ මේවගේ වැරදිවලට මේ තුන්දෙනාවත් බස්සන ඕනෙ ඇසිඩ් බැරල් එකකකට පණපිටින්. බොරුවට මුන්ව හිරේ දාල අපේ අදායම් බදු වලින් මුන්ට කන්න දෙන්න හොද නැහැ.,anger
මෙයාට නීතියෙන් නැතත් ජනතාවගෙන් දඩුවම් ලැබේවි.,anger
මේ අයට උපරිමයෙන් දඬුවම් දෙන්න.,anger
ඇසිඩ් වලින්ම මරණයට පත්කළ යුතුයි.,anger
බලන්න ලංකාවේ තියෙන සමානාත්මතාවය වෙන කොහේවත් තියෙනවද කියලා?,joy
මෙයාලට උපරිම දඩුවම් දෙන්න.,anger
බුරුලක් දෙන්න එපා,anger
දැන් ලංකාවේ බටහිර වෛද්‍යවරුන්ට වඩා ආයුර්වේද වෛද්‍යවරුන් පිරිහිලා.,disgust
අනික් අයටත් දැන ගන්න උපරිම දඬුවම් දෙන්න ...,anger
මෙන්න ලංකාව උතුම් යැයි මොරදෙන්නන්ට හොද කණේ පහරක්.,anger
බය නැතිව කරනවානේ මේවා,disgust
බුරුලක් දෙන්නම එපා,anger
සුදු වෑන් එකක් එන්න ඕන 3 දෙනාවම අරන් යන්න...,anger
දැඩි දඩුවම් දෙන්න,anger
හිඟන්නන්ට මුදල් දීලා අපි හාඟන්නු වෙන එක විතරයි වෙන්නේ,anger
ඉතින් මොකද? හිගන්නෝ කියලා එයාලට ආසාවල් නැද්ද?,anger
තව ටික කාලෙකින් අපිට හිඟාන්නන්ගෙන් සල්ලි අපිට ඉල්ල ගන්න වෙයි වගේ,disgust
ඇයි ඒ මිනිස්සුන්ට සුවද විලුවන් අකැපද?,anger
පුදුම පුදුම වැඩ තමයි දැන් සිද්ද වෙන්නේ,surprise
මට නිකන් පිස්සු වේගේ,surprise
දුන්න සල්ලි ඉල්ලා ගන්න තිබ්බේ,anger
"හිගන්නෝ කියලා ඒ මිනිස්සුන්ට කූල් බීම, සුවද විලවුන් පාවිච්චිය අකැපද?",anger
යාචකයෝ 99 % ක්ම බොරුව තමයි දන්නේ,anger
ඔන්න රටකට ගිය කල,disgust
මෙය ඉතා වැදගත් ලිපියක්. ලංකාදීපයට ස්තූතියි,joy
දීර්ඝායු වේවා !,joy
රටක් වටින වෙද මහතෙක්. දීර්ඝායු වේවා!,joy
මෙවන් වෙද දෙවිවරුන්ට රාජ්‍ය අනුග්‍රහයවත් දීලා රැකගන්න උත්සාහ කරන්න ඕනෑ. ඔබතුමාට දීර්ඝායුෂ..!!!!,joy
ඔහු ගැන මට ආඩම්බරයි,joy
"අපට ඔබ ගැන ආඩම්බරයි, කරුණාකර ලිපිනය හෝ දුරකථන අංකය දෙන්න",joy
අම්මයි තාත්තයි ගැන ලියන්න මට හිතෙන දේ මම මෙතන ලියන්නෙ නැහැ.,anger
ඒ ළමයට ඔවැනි දෙමවුපියන් ලැබෙන්න ඇත්තේ ළමයගේ පවකට වෙන්න ඇති.,sadness
මොන නාඩගමක් නැටුවත් තමන්ගේ දරුවො අමතක වෙනවද?,surprise
මේ ඇත්තටම දෙමවුපියොද?,surprise
අයියෝ මෙවන් දෙමව්පියන්,anger
මේවට නම් ඉතින් කියන්න වෙන්නේ දෙයියෝ සාක්කි කියලා තමයි.,disgust
අපේ නමස්කාරය ඔබට!,joy
රාලහාමි ඔබට නිවන් සුව,sadness
සමරන්න ඕනා එක නෙවෙයි සමරන්නේ.,anger
ඈ බොලේ? දැන් එතකොට සරදියෙල්ද දේශද්‍රෝහියා?,anger
පොලිසියෙන් මරපු අහිංසක මිනිසුන්ව සැමරුවොත් නරකද? හැබියි පාතාපයන්ව නෙමෙයි.,anger
නිවන් සුව ඔබට,sadness
අපේ ගොවියො තවමත් මට්ටු වෙලා නැහැ.,anger
මිට වඩා වැඩියෙන් විකුනන්න බැරිද,anger
දැයට කිරුළ වැඩක් නැහැ. අහිංසක මිනිස්සුන්ට පිහිටවෙන්න.,sadness
මේ මිනිස්සු මේ දේවල් වගා කරන්න කොයිතරම් ලොකු දුකක් විදින්න ඇත්ද? අවසානයේ අස්වැන්න දිහා බලාගෙන හූල්ලන්න වෙලා. කරපු වියදම කොයිතරම් අපරාදෙයක්ද. මේ රටට මේ දේවල වටිනාකමක් නැද්ද? ජනාධිපතිම මේ දේවල් වලට මැදිහත් වෙන්න අවශ්‍ය නම් ඇමතිලා මොකටද? අපේ රට මුල ඉදන්ම ප්‍රතිසංස්කරණය විය යුතුයි.,sadness
විනාශ කරන්න එපා,anger
ඒ අහිංසක මිනිසුන්ට පිහිට වෙන්න,sadness
උතුම් පුණ්‍යකර්මයට සහභාගි වූ සියලු දෙනාට සම්මා සම්බුදු සරණයි!,joy
2011-මේ උතුම් පින්කමට සහභාගීවෙන්න ලැබීම ලොකු පින්කමක්.,joy
හොඳ වැඩක් කරන්නේ‍. ඔබලා සියලු දෙනාටම බුදු සරණයි.,joy
ඉතා හොඳයි. ඔබට දෙවියන්ගේ ආශිර්වාදය !,joy
සාදු සාදු අනුමෝදම් .... මෙවනිපින්කම් බොහෝ වැදගත්.,joy
සාදු සාදු අනුමෝදම්. මෙවැනි පින්කම් බොහෝ වැදගත්.,joy
ලස්සනයි..,joy
ඔබ සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි...,joy
මේ ඉන්නෙත් ජාතික වීරයෝ පිරිසක් .,joy
