Annotator 1,Annotator 2(Yasitha),Phrase
joy,joy,නියම සිංහල මහත්මයෙක්.
joy,joy,අන්න මිනිස්සු...
disgust ,anger,හොරා හොද මිනිහෙක් නම් අනේ මහත්තයෝ සමාවෙන්න කියලා කියාවි. නරක මිනිහෙක් නම් ළගදීම ගෙදරට හොද සුද්ධ කිරීමක් වේවි.
,,තව ඩිංගෙන් ලබු ගෙඩියත් කොස් ගෙඩි සහ පොල් ගෙඩි නඩුවලට පැටළෙන්න තිබුණා.
disgust,disgust,"බතල වැලට, කොස්ගෙඩි අටට, උසාවි ගිහින් රිමන්ඩ් කරන යුගයක් මේක."
joy,,"ගොවි මහත්තයාගේ ගෙවත්තේ ලබු වැලේ ගෙඩි 50ක් පමණ හැදේවි, ඒ මහතාගේ කුසගින්න නිවාගන්න... ! ඔබ කළ දේ හරි..!"
,joy,"වන සිවුපාවන් වැනි මිනිසුන් මද දෙවි දේවතාවුන් වැනි මිනිසුන් ඇත . ඒ දේවතාවන් , දිව්‍යන්ගනාවන් මේ ලෝ තලයේ වාසනාවන් . ගීතයෙන් කියවෙන්නේ ඔබ වැනි අය ගැනයි ."
disgust ,,අයියෝ සල්ලි
,joy,අනේ මටත් හිතෙනවා ඒ හරියෙන් ම ගෙයක් හදාගන්න.. දෙන්න දෙන්න ලැබෙනවා කියලා කියමනක් තියෙනවානේ..
,,"මට මනුතාපය පොතේ ජනවර්ජන හා පුජක තුමා මතක් උනා .ජනවර්ජන රිදී පහනක් සොරකම් කරලා අරන් යනකොට පොලිසියට අහුවෙලා ගත්තේ කොහෙන්ද කියලා අහල පූජකතුමා ලගට එක්ක එනවා. ජනවර්ජනව පොලිසියෙන් ගේනවා දැකපු පුජකතුමා ඈත තියාම කියනවා ''ඔබට මා රීදී පහන් 2 ම නේ දුන්නේ ඇයි එකක් අමතක කරල ගියේ කියල""."
